MUNICIPIO;CP;PROVINCIA;FRECUENCIA;TARIFA RAEE;TARIFA NO RAEE
Cabezabellosa;10729;Caceres ;LUNES;45,00 Ä;41,00 Ä
Casas del Monte;10730;Caceres ;LUNES;45,00 Ä;41,00 Ä
Segura de Toro;10739;Caceres ;LUNES;45,00 Ä;41,00 Ä
Aldeanueva del Camino;10740;Caceres ;LUNES;45,00 Ä;41,00 Ä
Abadia;10748;Caceres ;LUNES;45,00 Ä;41,00 Ä
Gargantilla;10749;Caceres ;LUNES;45,00 Ä;41,00 Ä
Ba√±os de Montemayor;10750;Caceres ;LUNES;45,00 Ä;41,00 Ä
Garganta (La);10759;Caceres ;LUNES;45,00 Ä;41,00 Ä
Coria;10800;Caceres ;LUNES;45,00 Ä;41,00 Ä
Montehermoso;10810;Caceres ;LUNES;45,00 Ä;41,00 Ä
Morcillo;10811;Caceres ;LUNES;45,00 Ä;41,00 Ä
Villanueva de la Sierra;10812;Caceres ;LUNES;45,00 Ä;41,00 Ä
Pozuelo de Zarz√≥n;10813;Caceres ;LUNES;45,00 Ä;41,00 Ä
Villa del Campo;10814;Caceres ;LUNES;45,00 Ä;41,00 Ä
Guijo de Coria;10815;Caceres ;LUNES;45,00 Ä;41,00 Ä
Guijo de Galisteo;10816;Caceres ;LUNES;45,00 Ä;41,00 Ä
Calzadilla;10817;Caceres ;LUNES;45,00 Ä;41,00 Ä
Casas de Don G√≥mez;10818;Caceres ;LUNES;45,00 Ä;41,00 Ä
Casillas de Coria;10818;Caceres ;LUNES;45,00 Ä;41,00 Ä
Ca√±averal;10820;Caceres ;LUNES;45,00 Ä;41,00 Ä
Portezuelo;10828;Caceres ;LUNES;45,00 Ä;41,00 Ä
Holguera;10829;Caceres ;LUNES;45,00 Ä;41,00 Ä
Pedroso de Acim;10829;Caceres ;LUNES;45,00 Ä;41,00 Ä
Torrejoncillo;10830;Caceres ;LUNES;45,00 Ä;41,00 Ä
Moraleja;10840;Caceres ;LUNES;45,00 Ä;41,00 Ä
Hu√©laga;10849;Caceres ;LUNES;45,00 Ä;41,00 Ä
Hoyos;10850;Caceres ;LUNES;45,00 Ä;41,00 Ä
Acebo;10857;Caceres ;LUNES;45,00 Ä;41,00 Ä
Villasbuenas de Gata;10858;Caceres ;LUNES;45,00 Ä;41,00 Ä
Santib√°√±ez el Alto;10859;Caceres ;LUNES;45,00 Ä;41,00 Ä
Gata;10860;Caceres ;LUNES;45,00 Ä;41,00 Ä
Torre de Don Miguel;10864;Caceres ;LUNES;45,00 Ä;41,00 Ä
Cadalso;10865;Caceres ;LUNES;45,00 Ä;41,00 Ä
Descargamar√≠a;10866;Caceres ;LUNES;45,00 Ä;41,00 Ä
Robledillo de Gata;10867;Caceres ;LUNES;45,00 Ä;41,00 Ä
Hern√°n-P√©rez;10868;Caceres ;LUNES;45,00 Ä;41,00 Ä
Torrecilla de los √Ångeles;10869;Caceres ;LUNES;45,00 Ä;41,00 Ä
Ceclav√≠n;10870;Caceres ;LUNES;45,00 Ä;41,00 Ä
Aceh√∫che;10879;Caceres ;LUNES;45,00 Ä;41,00 Ä
Zarza la Mayor;10880;Caceres ;LUNES;45,00 Ä;41,00 Ä
Cachorrilla;10881;Caceres ;LUNES;45,00 Ä;41,00 Ä
Pescueza;10882;Caceres ;LUNES;45,00 Ä;41,00 Ä
Portaje;10883;Caceres ;LUNES;45,00 Ä;41,00 Ä
Valverde del Fresno;10890;Caceres ;LUNES;45,00 Ä;41,00 Ä
Eljas;10891;Caceres ;LUNES;45,00 Ä;41,00 Ä
San Mart√≠n de Trevejo;10892;Caceres ;LUNES;45,00 Ä;41,00 Ä
Villamiel;10893;Caceres ;LUNES;45,00 Ä;41,00 Ä
Cilleros;10895;Caceres ;LUNES;45,00 Ä;41,00 Ä
Perales del Puerto;10896;Caceres ;LUNES;45,00 Ä;41,00 Ä
Arroyo de la Luz;10900;Caceres ;LUNES - VIERNES;38,00 Ä;34,00 Ä
Malpartida de C√°ceres;10910;Caceres ;LUNES - MIERCOLES - VIERNES;38,00 Ä;34,00 Ä
Navas del Madro√±o;10930;Caceres ;LUNES;40,00 Ä;36,00 Ä
Garrovillas de Alcon√©tar;10940;Caceres ;LUNES;40,00 Ä;36,00 Ä
Brozas;10950;Caceres ;LUNES;38,00 Ä;34,00 Ä
Villa del Rey;10960;Caceres ;LUNES;38,00 Ä;34,00 Ä
Mata de Alc√°ntara;10970;Caceres ;LUNES;38,00 Ä;34,00 Ä
Alc√°ntara;10980;Caceres ;LUNES;38,00 Ä;34,00 Ä
Piedras Albas;10991;Caceres ;LUNES;38,00 Ä;34,00 Ä
