MUNICIPIO;CP;PROVINCIA;FRECUENCIA;TARIFA RAEE;TARIFA NO RAEE
Jerez de los Caballeros;6380;Badajoz;MIERCOLES - VIERNES;40,00 Ä;36,00 Ä
Feria;6390;Badajoz;JUEVES;38,00 Ä;34,00 Ä
Lapa (La);6391;Badajoz;MIERCOLES;38,00 Ä;34,00 Ä
Alconera;6393;Badajoz;MIERCOLES;40,00 Ä;36,00 Ä
Bodonal de la Sierra;6394;Badajoz;MIERCOLES;40,00 Ä;36,00 Ä
Don Benito;6400;Badajoz;JUEVES;42,00 Ä;38,00 Ä
Santa Amalia;6410;Badajoz;JUEVES ;42,00 Ä;38,00 Ä
Medellin;6411;Badajoz;JUEVES;42,00 Ä;38,00 Ä
Mengabril;6413;Badajoz;JUEVES;42,00 Ä;38,00 Ä
Castuera;6420;Badajoz;JUEVES;45,00 Ä;41,00 Ä
Monterrubio de la Serena;6427;Badajoz;JUEVES;45,00 Ä;41,00 Ä
Benquerencia de la Serena;6429;Badajoz;JUEVES;45,00 Ä;41,00 Ä
Zalamea de la Serena;6430;Badajoz;JUEVES;45,00 Ä;41,00 Ä
Esparragosa de la Serena;6439;Badajoz;JUEVES;45,00 Ä;41,00 Ä
Malpartida de la Serena;6440;Badajoz;JUEVES ;45,00 Ä;41,00 Ä
Higuera de la Serena;6441;Badajoz;JUEVES;45,00 Ä;41,00 Ä
Retamal de Llerena;6442;Badajoz;MIERCOLES;45,00 Ä;41,00 Ä
Campillo de Llerena;6443;Badajoz;MIERCOLES;45,00 Ä;41,00 Ä
Valencia de las Torres;6444;Badajoz;MIERCOLES;40,00 Ä;36,00 Ä
Higuera de Llerena;6445;Badajoz;JUEVES;45,00 Ä;41,00 Ä
Quintana de la Serena;6450;Badajoz;JUEVES;45,00 Ä;41,00 Ä
Valle de la Serena;6458;Badajoz;JUEVES;45,00 Ä;41,00 Ä
Campanario;6460;Badajoz;JUEVES;45,00 Ä;41,00 Ä
Magacela;6468;Badajoz;JUEVES;42,00 Ä;38,00 Ä
Coronada (La);6469;Badajoz;JUEVES;42,00 Ä;38,00 Ä
GuareÒa;6470;Badajoz;MARTES - JUEVES ;38,00 Ä;34,00 Ä
Villagonzalo;6473;Badajoz;MARTES;38,00 Ä;34,00 Ä
Valdetorres;6474;Badajoz;MARTES - JUEVES ;38,00 Ä;34,00 Ä
Oliva de Merida;6475;Badajoz;MARTES -  JUEVES;38,00 Ä;34,00 Ä
Palomas;6476;Badajoz;MARTES - JUEVES ;38,00 Ä;34,00 Ä
Puebla de la Reina;6477;Badajoz;MARTES;38,00 Ä;34,00 Ä
Manchita;6478;Badajoz;MARTES - JUEVES ;38,00 Ä;34,00 Ä
Cristina;6479;Badajoz;MARTES - JUEVES ;38,00 Ä;34,00 Ä
Montijo;6480;Badajoz;MARTES - JUEVES ;36,00 Ä;32,00 Ä
Nava de Santiago (La);6486;Badajoz;MARTES;36,00 Ä;32,00 Ä
Cordobilla de Lacara;6487;Badajoz;MARTES;36,00 Ä;32,00 Ä
Carmonita;6488;Badajoz;MARTES;36,00 Ä;32,00 Ä
Puebla de la Calzada;6490;Badajoz;MARTES - JUEVES ;36,00 Ä;32,00 Ä
Lobon;6498;Badajoz;MARTES - JUEVES ;36,00 Ä;32,00 Ä
San Vicente de Alc√°ntara;6500;Badajoz;LUNES - VIERNES;36,00 Ä;32,00 Ä
Alburquerque;6510;Badajoz;LUNES - VIERNES;36,00 Ä;32,00 Ä
Codosera (La);6518;Badajoz;LUNES - VIERNES;36,00 Ä;32,00 Ä
Cabeza del Buey;6600;Badajoz;JUEVES;45,00 Ä;41,00 Ä
Pe√±alsordo;6610;Badajoz;JUEVES ;47,00 Ä;43,00 Ä
Zarza-Capilla;6611;Badajoz;JUEVES ;47,00 Ä;43,00 Ä
Capilla;6612;Badajoz;JUEVES;47,00 Ä;43,00 Ä
Esparragosa de Lares;6620;Badajoz;JUEVES;47,00 Ä;43,00 Ä
Puebla de Alcocer;6630;Badajoz;JUEVES ;47,00 Ä;43,00 Ä
Talarrubias;6640;Badajoz;JUEVES;47,00 Ä;43,00 Ä
Siruela;6650;Badajoz;JUEVES;47,00 Ä;43,00 Ä
Sancti-Sp√≠ritus;6655;Badajoz;JUEVES;47,00 Ä;43,00 Ä
Garlitos;6656;Badajoz;JUEVES;47,00 Ä;43,00 Ä
Risco;6657;Badajoz;JUEVES;47,00 Ä;43,00 Ä
Tamurejo;6658;Badajoz;JUEVES;47,00 Ä;43,00 Ä
Baterno;6659;Badajoz;JUEVES;47,00 Ä;43,00 Ä
Fuenlabrada de los Montes;6660;Badajoz;JUEVES;47,00 Ä;43,00 Ä
Herrera del Duque;6670;Badajoz;JUEVES;47,00 Ä;43,00 Ä
Villarta de los Montes;6678;Badajoz;JUEVES ;47,00 Ä;43,00 Ä
Castilblanco;6680;Badajoz;JUEVES;47,00 Ä;43,00 Ä
Valdecaballeros;6689;Badajoz;JUEVES ;47,00 Ä;43,00 Ä
Garbayuela;6690;Badajoz;JUEVES;47,00 Ä;43,00 Ä
Helechosa de los Montes;6692;Badajoz;JUEVES;47,00 Ä;43,00 Ä
Villanueva de la Serena;6700;Badajoz;MARTES - JUEVES ;42,00 Ä;38,00 Ä
Haba (La);6714;Badajoz;JUEVES;42,00 Ä;38,00 Ä
Rena;6715;Badajoz;JUEVES;42,00 Ä;38,00 Ä
Villar de Rena;6716;Badajoz;JUEVES;42,00 Ä;38,00 Ä
Acedera;6730;Badajoz;JUEVES;42,00 Ä;38,00 Ä
Orellana la Vieja;6740;Badajoz;JUEVES;42,00 Ä;38,00 Ä
Orellana de la Sierra;6750;Badajoz;JUEVES;42,00 Ä;38,00 Ä
Navalvillar de Pela;6760;Badajoz;JUEVES;42,00 Ä;38,00 Ä
Casas de Don Pedro;6770;Badajoz;MIERCOLES;42,00 Ä;38,00 Ä
Merida;6800;Badajoz;MARTES - JUEVES;38,00 Ä;34,00 Ä
Calamonte;6810;Badajoz;MARTES - JUEVES ;38,00 Ä;34,00 Ä
Don √Ålvaro;6820;Badajoz;MARTES - JUEVES ;38,00 Ä;34,00 Ä
La Zarza;6830;Badajoz;MARTES - JUEVES;38,00 Ä;34,00 Ä
Alange;6840;Badajoz;MARTES - JUEVES ;38,00 Ä;34,00 Ä
Arroyo de San Servan;6850;Badajoz;MARTES - JUEVES ;38,00 Ä;34,00 Ä
Esparragalejo;6860;Badajoz;MIERRCOLES;38,00 Ä;34,00 Ä
Garrovilla (La);6870;Badajoz;MARTES - JUEVES ;38,00 Ä;34,00 Ä
Torremayor;6880;Badajoz;MARTES ;38,00 Ä;34,00 Ä
Valverde de M√©rida;6890;Badajoz;MARTES - JUEVES ;38,00 Ä;34,00 Ä
Mirandilla;6891;Badajoz;MARTES - JUEVES ;38,00 Ä;34,00 Ä
Trujillanos;6892;Badajoz;MARTES - JUEVES ;38,00 Ä;34,00 Ä
San Pedro de M√©rida;6893;Badajoz;MARTES - JUEVES ;38,00 Ä;34,00 Ä
Aljucen;6894;Badajoz;MARTES;38,00 Ä;34,00 Ä
Carrascalejo (El);6894;Badajoz;MARTES;38,00 Ä;34,00 Ä
Llerena;6900;Badajoz;MIERCOLES - VIERNES;45,00 Ä;41,00 Ä
Puebla del Maestre;6906;Badajoz;MIERCOLES;45,00 Ä;41,00 Ä
Trasierra;6909;Badajoz;MIERCOLES;47,00 Ä;43,00 Ä
Granja de Torrehermosa;6910;Badajoz;MIERCOLES;47,00 Ä;43,00 Ä
Peraleda del Zaucejo;6919;Badajoz;MIERCOLES;45,00 Ä;41,00 Ä
Azuaga;6920;Badajoz;MIERCOLES;47,00 Ä;43,00 Ä
Valverde de Llerena;6927;Badajoz;MIERCOLES;45,00 Ä;41,00 Ä
Malcocinado;6928;Badajoz;MIERCOLES;47,00 Ä;43,00 Ä
Berlanga;6930;Badajoz;MIERCOLES;45,00 Ä;41,00 Ä
Maguilla;6939;Badajoz;MIERCOLES;45,00 Ä;41,00 Ä
Ahillones;6940;Badajoz;MIERCOLES;45,00 Ä;41,00 Ä
Villagarc√≠a de la Torre;6950;Badajoz;MIERCOLES;45,00 Ä;41,00 Ä
Casas de Reina;6960;Badajoz;MIERCOLES;45,00 Ä;41,00 Ä
Reina;6970;Badajoz;MIERCOLES;45,00 Ä;41,00 Ä
Fuente del Arco;6980;Badajoz;MIERCOLES;47,00 Ä;43,00 Ä
Caceres;10001;Caceres ;LUNES - MIERCOLES - VIERNES;38,00 Ä;34,00 Ä
Caceres;10002;Caceres ;LUNES - MIERCOLES - VIERNES;38,00 Ä;34,00 Ä
Caceres;10003;Caceres ;LUNES - MIERCOLES - VIERNES;38,00 Ä;34,00 Ä
Caceres;10004;Caceres ;LUNES - MIERCOLES - VIERNES;38,00 Ä;34,00 Ä
Caceres;10005;Caceres ;LUNES - MIERCOLES - VIERNES;38,00 Ä;34,00 Ä
Miajadas;10100;Caceres ;JUEVES;40,00 Ä;36,00 Ä
Madrigalejo;10110;Caceres ;JUEVES;40,00 Ä;36,00 Ä
Logros√°n;10120;Caceres ;JUEVES;40,00 Ä;36,00 Ä
Berzocana;10129;Caceres ;JUEVES;40,00 Ä;36,00 Ä
Zorita;10130;Caceres ;JUEVES;40,00 Ä;36,00 Ä
Valdemorales;10131;Caceres ;MARTES;38,00 Ä;34,00 Ä
Almohar√≠n;10132;Caceres ;MARTES;38,00 Ä;34,00 Ä
Escurial;10133;Caceres ;JUEVES;40,00 Ä;36,00 Ä
Campo Lugar;10134;Caceres ;JUEVES;40,00 Ä;36,00 Ä
Alcollarin;10135;Caceres ;MARTES;38,00 Ä;34,00 Ä
Ca√±amero;10136;Caceres ;JUEVES;42,00 Ä;38,00 Ä
Alia;10137;Caceres ;JUEVES;44,00 Ä;40,00 Ä
Guadalupe;10140;Caceres ;JUEVES;44,00 Ä;40,00 Ä
Alcu√©scar;10160;Caceres ;MARTES;38,00 Ä;34,00 Ä
Arroyomolinos;10161;Caceres ;MARTES - VIERNES;38,00 Ä;34,00 Ä
Casas de Don Antonio;10162;Caceres ;VIERNES;38,00 Ä;34,00 Ä
Aldea del Cano;10163;Caceres ;MARTES;38,00 Ä;34,00 Ä
Mont√°nchez;10170;Caceres ;MARTES;38,00 Ä;34,00 Ä
Valdefuentes;10180;Caceres ;MARTES;38,00 Ä;34,00 Ä
Sierra de Fuentes;10181;Caceres ;VIERNES;38,00 Ä;34,00 Ä
Torreorgaz;10182;Caceres ;VIERNES;38,00 Ä;34,00 Ä
Torrequemada;10183;Caceres ;VIERNES;38,00 Ä;34,00 Ä
Torremocha;10184;Caceres ;VIERNES;38,00 Ä;34,00 Ä
Benquerencia;10185;Caceres ;MARTES;38,00 Ä;34,00 Ä
Torre de Santa Mar√≠a;10186;Caceres ;MARTES;40,00 Ä;36,00 Ä
Albal√°;10187;Caceres ;MARTES ;40,00 Ä;36,00 Ä
Botija;10188;Caceres ;MARTES;40,00 Ä;36,00 Ä
Salvatierra de Santiago;10189;Caceres ;MARTES;40,00 Ä;36,00 Ä
Santa Ana;10189;Caceres ;MARTES;40,00 Ä;36,00 Ä
Zarza de Mont√°nchez;10189;Caceres ;MARTES;40,00 Ä;36,00 Ä
Casar de C√°ceres;10190;Caceres ;LUNES - MIERCOLES - VIERNES;36,00 Ä;32,00 Ä
Santiago del Campo;10191;Caceres ;LUNES;40,00 Ä;36,00 Ä
Hinojal;10192;Caceres ;LUNES;40,00 Ä;36,00 Ä
