Provincia;Municipio;Codigo Postal;Distancia (km);Zona;Dia Reparto (Voluminosa)
Caceres;Villanueva de la Sierra;10760;225;F;
Caceres;Casar de Palomero;10731;220;F;
Caceres;Castilblanco;10138;190;F;
Caceres;Navalvillar de Ibor;10139;155;E;
Caceres;Cabanas del Castillo;10139;155;E;
Caceres;Fuenlabrada de los Montes (Caceres);10139;155;E;
