CP;POBLACION;KM_BADAJOZ;DIA_VOLUMINOSA
06226;Hinojosa del Valle;91;MARTES
10829;Holguera;150;LUNES
06228;Hornachos;99;MARTES
10514;Huertas de Cansa;;LUNES
10291;Huertas de la Magdalena;;MARTES
10280;Ibahernando;138;MARTES
10380;Jaraicejo;171;MARTES
06380;Jerez de los Caballeros;72;MIÉRCOLES
06509;La Ermita;;LUNES
06489;Lácara (Poblado);;MARTES
10519;Lanchuela, La;;LUNES
06391;Lapa, La;75;MIÉRCOLES
06227;Llera;104;MIÉRCOLES
06900;Llerena;117;MIÉRCOLES
06498;Lobón;33;MARTES Y JUEVES
10120;Logrosán;155;JUEVES
06468;Los Cercones;;JUEVES
10110;Madrigalejo;146;JUEVES
10210;Madroñera;151;JUEVES
06468;Magacela;122;JUEVES
06939;Maguilla;131;MIÉRCOLES
06928;Malcocinado;162;MIÉRCOLES
10910;Malpartida de Cáceres;87;LUNES
06440;Malpartida de la Serena;149;JUEVES
10680;Malpartida de Plasencia;177;LUNES
06478;Manchita;93;MARTES
06519;Marco, El;;LUNES
10970;Mata de Alcántara;113;LUNES
06392;Matanegra;;MIÉRCOLES
06411;Medellín;100;JUEVES
06220;Medina de las Torres;85;MIÉRCOLES
10580;Membrío;93;LUNES
06413;Mengabril;105;JUEVES
06800;Mérida;60;MARTES Y JUEVES
10329;Mesas de Ibor;212;---
10100;Miajadas;110;JUEVES
10394;Millanes de la Mata;211;---
10540;Mirabel;166;LUNES
06891;Mirandilla;70;MARTES
10664;Moheda, La;174;---
06260;Monesterio;118;MIÉRCOLES
10194;Monroy;127;LUNES
10170;Montánchez;103;MARTES
06291;Montemolín;113;MIÉRCOLES
06427;Monterrubio de la Serena;172;JUEVES
06480;Montijo;37;MARTES Y JUEVES
10811;Morcillo;165;---
10880;Moreras;;LUNES
06176;Morera, La;52;MIÉRCOLES
06519;Nª Sra. del Carrión;;LUNES
06486;Nava de Santiago, La;56;MARTES
10300;Navalmoral de la Mata;212;POSTVENTA 601
06760;Navalvillar de Ibor;210;POSTVENTA 601
06760;Navalvillar de Pela;145;JUEVES
10930;Navas del Madroño;103;LUNES
06173;Nogales;42;MIÉRCOLES
06183;Novelda del Guadiana;;LUNES, MARTES Y JUEVES
06730;Obando;;JUEVES
06120;Oliva de la Frontera;82;MIÉRCOLES
06475;Oliva de Mérida;89;MARTES
06100;Olivenza;25;LUNES, MIÉRCOLES, VIERNES
06750;Orellana de la Sierra;144;JUEVES
06740;Orellana la Vieja;138;JUEVES
10829;Pajares de la Rivera;;LUNES
10590;Palazuelo;;LUNES
06717;Palazuelo;;JUEVES
06907;Pallares;127;MIÉRCOLES
06476;Palomas;87;MARTES
10697;Pantano de Navabuena;;LUNES
06176;Parra, La;58;MIÉRCOLES
10829;Pedroso de Acim;146;LUNES
10593;Perala, La;;MARTES
06919;Peraleda del Zaucejo;150;MIÉRCOLES
10882;Pescueza;166;LUNES
10991;Piedras Albas;123;LUNES
10514;Pinos, Los;;LUNES
10600;Plasencia;175;LUNES TODOS
10271;Plasenzuela;130;MARTES
10883;Portaje;158;LUNES
10828;Portezuelo;139;LUNES
10671;Pradochano;;LUNES
06717;Puebla de Alcollarin (Pizarro);;JUEVES
06490;Puebla de la Calzada;35;MARTES Y JUEVES
06477;Puebla de la Reina;92;MARTES
06191;Puebla de Obando;48;LUNES Y VIERNES
06310;Puebla de Sancho Pérez;79;MIÉRCOLES
06906;Puebla del Maestre;132;MIÉRCOLES
06229;Puebla del Prior;87;MARTES
06184;Pueblonuevo del Guadiana;24;MARTES, JUEVES
10829;Puerto de los Castaños;;LUNES
10261;Puerto de Santa Cruz;129;MARTES
00000;PAGO SAN CLEMENTE;;MARTES
06450;Quintana de la Serena;139;JUEVES
06392;Raposo, El;;MIÉRCOLES
06970;Reina;126;MIÉRCOLES
06715;Rena;112;JUEVES
06196;Retamal;;MARTES
06442;Retamal de Llerena;121;MIÉRCOLES
10372;Retamosa;;MARTES
06225;Ribera del Fresno;82;MARTES
10199;Rincón de Ballesteros;;MARTES
10811;Rincón del Obispo;;LUNES
10690;Rincón, El;;LUNES
10693;Riolobos;155;LUNES
06170;Risca, La;;
06657;Risco;184;JUEVES
10269;Robledillo de Trujillo;123;MARTES
10371;Robledollano;193;MARTES
06190;Roca de la Sierra, La;39;LUNES Y VIERNES
06509;Rocita de Mayorga, La;;LUNES
10189;Ruanes;121;MARTES
06929;Rubios, Los;;MIÉRCOLES
06412;Ruecas;;JUEVES
06181;Sagrajas;;LUNES, MARTES Y JUEVES
10570;Salorino;85;LUNES
06174;Salvaleón;52;MIÉRCOLES
06175;Salvatierra de los Barros;65;MIÉRCOLES
10189;Salvatierra de Santiago;117;MARTES
06106;San Benito de la Contienda;;LUNES, MIÉRCOLES, VIERNES
06109;San Francisco de Olivenza;;LUNES, MIÉRCOLES, VIERNES
10690;San Gil;;LUNES
