CP;POBLACION;DIA_VOLUMINOSA
06498;Lobón;MARTES Y JUEVES
10120;Logrosán;JUEVES
06468;Los Cercones;JUEVES
10110;Madrigalejo;JUEVES
10210;Madroñera;JUEVES
06468;Magacela;JUEVES
06939;Maguilla;MIÉRCOLES
06928;Malcocinado;MIÉRCOLES
10910;Malpartida de Cáceres;LUNES
06440;Malpartida de la Serena;JUEVES
10680;Malpartida de Plasencia;LUNES
06478;Manchita;MARTES
06519;Marco, El;LUNES
10970;Mata de Alcántara;LUNES
06392;Matanegra;MIÉRCOLES
06411;Medellín;JUEVES
06220;Medina de las Torres;MIÉRCOLES
10580;Membrío;LUNES
06413;Mengabril;JUEVES
06800;Mérida;MARTES Y JUEVES
10329;Mesas de Ibor;---
10100;Miajadas;JUEVES
10394;Millanes de la Mata;---
10540;Mirabel;LUNES
06891;Mirandilla;MARTES
10664;Moheda, La;---
06260;Monesterio;MIÉRCOLES
10194;Monroy;LUNES
10170;Montánchez;MARTES
06291;Montemolín;MIÉRCOLES
06427;Monterrubio de la Serena;JUEVES
06480;Montijo;MARTES Y JUEVES
10811;Morcillo;---
10880;Moreras;LUNES
06176;Morera, La;MIÉRCOLES
06519;Nª Sra. del Carrión;LUNES
06486;Nava de Santiago, La;MARTES
10300;Navalmoral de la Mata;POSTVENTA 601
06760;Navalvillar de Ibor;POSTVENTA 601
06760;Navalvillar de Pela;JUEVES
10930;Navas del Madroño;LUNES
06173;Nogales;MIÉRCOLES
06183;Novelda del Guadiana;LUNES, MARTES Y JUEVES
06730;Obando;JUEVES
06120;Oliva de la Frontera;MIÉRCOLES
06475;Oliva de Mérida;MARTES
06100;Olivenza;LUNES, MIÉRCOLES, VIERNES
06750;Orellana de la Sierra;JUEVES
06740;Orellana la Vieja;JUEVES
10829;Pajares de la Rivera;LUNES
10590;Palazuelo;LUNES
06717;Palazuelo;JUEVES
06907;Pallares;MIÉRCOLES
06476;Palomas;MARTES
10697;Pantano de Navabuena;LUNES
06176;Parra, La;MIÉRCOLES
10829;Pedroso de Acim;LUNES
10593;Perala, La;MARTES
06919;Peraleda del Zaucejo;MIÉRCOLES
10882;Pescueza;LUNES
10991;Piedras Albas;LUNES
10514;Pinos, Los;LUNES
10600;Plasencia;LUNES TODOS
10271;Plasenzuela;MARTES
10883;Portaje;LUNES
10828;Portezuelo;LUNES
10671;Pradochano;LUNES
06717;Puebla de Alcollarin (Pizarro);JUEVES
06490;Puebla de la Calzada;MARTES Y JUEVES
06477;Puebla de la Reina;MARTES
06191;Puebla de Obando;LUNES Y VIERNES
06310;Puebla de Sancho Pérez;MIÉRCOLES
06906;Puebla del Maestre;MIÉRCOLES
