CP;Municipio;Provincia
10070;Cáceres;Cáceres
10071;Cáceres;Cáceres
10080;Cáceres;Cáceres
10100;Miajadas;Cáceres
10109;Miajadas;Cáceres
10110;Madrigalejo;Cáceres
10120;Logrosán;Cáceres
10126;Cabañas del Castillo;Cáceres
10129;Berzocana;Cáceres
10130;Zorita;Cáceres
10131;Valdemorales;Cáceres
10132;Almoharín;Cáceres
10133;Escurial;Cáceres
10135;Alcollarín;Cáceres
10136;Cañamero;Cáceres
10137;Alía;Cáceres
10140;Guadalupe;Cáceres
10160;Alcuéscar;Cáceres
10162;Casas de Don Antonio;Cáceres
10164;Valdesalor;Cáceres
10170;Montánchez;Cáceres
10181;Sierra de Fuentes;Cáceres
10182;Torreorgaz;Cáceres
10183;Torrequemada;Cáceres
10185;Benquerencia;Cáceres
10186;Torre de Santa María;Cáceres
10188;Benquerencia;Cáceres
10189;Zarza de Montánchez;Cáceres
10190;Casar de Cáceres;Cáceres
10193;Talaván;Cáceres
10195;Cáceres;Cáceres
10198;Santa Marta de Magasca;Cáceres
10199;Cáceres;Cáceres
10200;Trujillo;Cáceres
10210;Madroñera;Cáceres
10230;Herguijuela;Cáceres
10240;Conquista de la Sierra;Cáceres
10250;Garciaz;Cáceres
10251;Aldeacentenera;Cáceres
10252;Torrecillas de la Tiesa;Cáceres
10260;Santa Cruz de la Sierra;Cáceres
10261;Robledillo de Trujillo;Cáceres
10262;Abertura;Cáceres
10263;Villamesías;Cáceres
10269;Robledillo de Trujillo;Cáceres
10271;Plasenzuela;Cáceres
10272;Ruanes;Cáceres
10280;Ibahernando;Cáceres
10291;Cáceres;Cáceres
10292;Trujillo;Cáceres
10300;Navalmoral de la Mata;Cáceres
10310;Talayuela;Cáceres
10319;Talayuela;Cáceres
10320;Bohonal de Ibor;Cáceres
10328;Fresnedoso de Ibor;Cáceres
10329;Valdecañas de Tajo;Cáceres
10330;Villar del Pedroso;Cáceres
10332;Valdelacasa de Tajo;Cáceres
10333;Garvín;Cáceres
10334;Peraleda de la Mata;Cáceres
10335;Peraleda de la Mata;Cáceres
10340;Castañar de Ibor;Cáceres
10341;Navalvillar de Ibor;Cáceres
10350;Almaraz;Cáceres
10360;Casas de Miravete;Cáceres
10370;Deleitosa;Cáceres
10371;Robledollano;Cáceres
10372;Retamosa;Cáceres
10373;Cabañas del Castillo;Cáceres
10374;Navezuelas;Cáceres
10380;Jaraicejo;Cáceres
10390;Saucedilla;Cáceres
10392;Berrocalejo;Cáceres
10393;Valdehúncar;Cáceres
10394;Belvís de Monroy;Cáceres
10396;Almaraz;Cáceres
10400;Jaraíz de la Vera;Cáceres
10410;Arroyomolinos de la Vera;Cáceres
10411;Pasarón de la Vera;Cáceres
10412;Garganta la Olla;Cáceres
10413;Torremenga;Cáceres
10420;Tejeda de Tiétar;Cáceres
10430;Cuacos de Yuste;Cáceres
10440;Aldeanueva de la Vera;Cáceres
10450;Jarandilla de la Vera;Cáceres
10459;Guijo de Santa Bárbara;Cáceres
10460;Losar de la Vera;Cáceres
10470;Villanueva de la Vera;Cáceres
10480;Madrigal de la Vera;Cáceres
10490;Valverde de la Vera;Cáceres
10491;Talaveruela de la Vera;Cáceres
10492;Viandar de la Vera;Cáceres
10493;Robledillo de la Vera;Cáceres
10500;Valencia de Alcántara;Cáceres
10510;Santiago de Alcántara;Cáceres
10511;Carbajo;Cáceres
10512;Herrera de Alcántara;Cáceres
10513;Cedillo;Cáceres
10514;Valencia de Alcántara;Cáceres
10515;Valencia de Alcántara;Cáceres
10516;Valencia de Alcántara;Cáceres
10519;Valencia de Alcántara;Cáceres
10521;Toril;Cáceres
10528;Serrejón;Cáceres
10529;Majadas de Tiétar;Cáceres
10530;Serradilla;Cáceres
10540;Mirabel;Cáceres
10560;Herreruela;Cáceres
10570;Salorino;Cáceres
10580;Membrío;Cáceres
10591;Toril;Cáceres
10592;Casas de Millán;Cáceres
10600;Plasencia;Cáceres
10610;Cabezuela del Valle;Cáceres
10611;Tornavacas;Cáceres
10612;Jerte;Cáceres
10613;Navaconcejo;Cáceres
10614;Valdastillas;Cáceres
10615;Piornal;Cáceres
10616;Casas del Castañar;Cáceres
10617;El Torno;Cáceres
10620;Caminomorisco;Cáceres
10623;Caminomorisco;Cáceres
10624;Ladrillar;Cáceres
10625;Ladrillar;Cáceres
10626;Nuñomoral;Cáceres
10627;Nuñomoral;Cáceres
10628;Casares de las Hurdes;Cáceres
10629;Caminomorisco;Cáceres
10630;Caminomorisco;Cáceres
10638;Pinofranqueado;Cáceres
10640;Casar de Palomero;Cáceres
10649;La Pesga;Cáceres
10650;Ahigal;Cáceres
10660;Palomero;Cáceres
10661;Santa Cruz de Paniagua;Cáceres
10662;Marchagaz;Cáceres
10663;Cerezo;Cáceres
10664;Mohedas de Granadilla;Cáceres
10665;Guijo de Granadilla;Cáceres
10666;Aceituna;Cáceres
10667;Oliva de Plasencia;Cáceres
10670;Carcaboso;Cáceres
10671;Aldehuela de Jerte;Cáceres
10672;Valdeobispo;Cáceres
10680;Malpartida de Plasencia;Cáceres
10691;Galisteo;Cáceres
10692;Guijo de Galisteo;Cáceres
10693;Riolobos;Cáceres
10694;Torrejón el Rubio;Cáceres
10695;Serradilla;Cáceres
10696;Barrado;Cáceres
10697;Tejeda de Tiétar;Cáceres
10700;Hervás;Cáceres
10710;Zarza de Granadilla;Cáceres
10712;Guijo de Granadilla;Cáceres
10720;Villar de Plasencia;Cáceres
10729;Cabezabellosa;Cáceres
10730;Casas del Monte;Cáceres
10739;Segura de Toro;Cáceres
10740;Aldeanueva del Camino;Cáceres
10748;Abadía;Cáceres
10749;Gargantilla;Cáceres
10750;Baños de Montemayor;Cáceres
10759;La Garganta;Cáceres
10800;Coria;Cáceres
10810;Montehermoso;Cáceres
10811;Coria;Cáceres
10812;Villanueva de la Sierra;Cáceres
10813;Pozuelo de Zarzón;Cáceres
10814;Villa del Campo;Cáceres
10815;Guijo de Coria;Cáceres
10817;Calzadilla;Cáceres
10818;Casas de Don Gómez;Cáceres
10828;Portezuelo;Cáceres
10829;Holguera;Cáceres
10830;Torrejoncillo;Cáceres
10839;Torrejoncillo;Cáceres
10840;Moraleja;Cáceres
10849;Gata;Cáceres
10850;Hoyos;Cáceres
10857;Acebo;Cáceres
10858;Villasbuenas de Gata;Cáceres
